*𐑐𐑮𐑺-𐑢𐑰𐑤	𐑐𐑮𐑺-𐑣𐑢𐑰𐑤
*𐑢𐑦𐑕𐑐𐑼	𐑣𐑢𐑦𐑕𐑐𐑼
*𐑢𐑦𐑕𐑐𐑼𐑛	𐑣𐑢𐑦𐑕𐑐𐑼𐑛
*𐑢𐑦𐑕𐑐𐑼𐑟	𐑣𐑢𐑦𐑕𐑐𐑼𐑟
*𐑢𐑦𐑕𐑐𐑼𐑦𐑙	𐑣𐑢𐑦𐑕𐑐𐑼𐑦𐑙
*𐑢𐑦𐑕𐑐𐑼𐑦𐑙𐑟	𐑣𐑢𐑦𐑕𐑐𐑼𐑦𐑙𐑟
*𐑢𐑦𐑕𐑐𐑼𐑦𐑙-𐑜𐑨𐑤𐑼𐑦	𐑣𐑢𐑦𐑕𐑐𐑼𐑦𐑙-𐑜𐑨𐑤𐑼𐑦
*𐑢𐑦𐑕𐑐𐑼𐑦𐑙-𐑜𐑨𐑤𐑼𐑦𐑟	𐑣𐑢𐑦𐑕𐑐𐑼𐑦𐑙-𐑜𐑨𐑤𐑼𐑦𐑟
*𐑢𐑦𐑕𐑐𐑼𐑼	𐑣𐑢𐑦𐑕𐑐𐑼𐑼
*𐑢𐑦𐑕𐑐𐑼𐑼𐑟	𐑣𐑢𐑦𐑕𐑐𐑼𐑼𐑟
*𐑢𐑦𐑕𐑑	𐑣𐑢𐑦𐑕𐑑
*𐑢𐑦𐑕𐑑-𐑛𐑮𐑲𐑝	𐑣𐑢𐑦𐑕𐑑-𐑛𐑮𐑲𐑝
*𐑢𐑦𐑕𐑑-𐑛𐑮𐑲𐑝𐑟	𐑣𐑢𐑦𐑕𐑑-𐑛𐑮𐑲𐑝𐑟
*𐑢𐑦𐑕𐑒	𐑣𐑢𐑦𐑕𐑒
*𐑢𐑦𐑕𐑒𐑑	𐑣𐑢𐑦𐑕𐑒𐑑
*𐑢𐑦𐑕𐑒𐑕	𐑣𐑢𐑦𐑕𐑒𐑕
*𐑢𐑦𐑕𐑒𐑦	𐑣𐑢𐑦𐑕𐑒𐑦
*𐑢𐑦𐑕𐑒𐑦𐑟	𐑣𐑢𐑦𐑕𐑒𐑦𐑟
*𐑢𐑦𐑕𐑒𐑦𐑙	𐑣𐑢𐑦𐑕𐑒𐑦𐑙
*𐑢𐑦𐑕𐑒𐑼	𐑣𐑢𐑦𐑕𐑒𐑼
*𐑢𐑦𐑕𐑒𐑼𐑛	𐑣𐑢𐑦𐑕𐑒𐑼𐑛
*𐑢𐑦𐑕𐑒𐑼𐑟	𐑣𐑢𐑦𐑕𐑒𐑼𐑟
*𐑢𐑦𐑕𐑤𐑦𐑙	𐑣𐑢𐑦𐑕𐑤𐑦𐑙
*𐑢𐑦𐑕𐑩𐑤	𐑣𐑢𐑦𐑕𐑩𐑤
*𐑢𐑦𐑕𐑩𐑤𐑛	𐑣𐑢𐑦𐑕𐑩𐑤𐑛
*𐑢𐑦𐑕𐑩𐑤𐑟	𐑣𐑢𐑦𐑕𐑩𐑤𐑟
*𐑢𐑦𐑕𐑩𐑤-𐑕𐑑𐑪𐑐	𐑣𐑢𐑦𐑕𐑩𐑤-𐑕𐑑𐑪𐑐
*𐑢𐑦𐑕𐑩𐑤-𐑕𐑑𐑪𐑐𐑕	𐑣𐑢𐑦𐑕𐑩𐑤-𐑕𐑑𐑪𐑐𐑕
*𐑢𐑦𐑟	𐑣𐑢𐑦𐑟
*𐑢𐑦𐑟𐑛	𐑣𐑢𐑦𐑟𐑛
*𐑢𐑦𐑟𐑦𐑙	𐑣𐑢𐑦𐑟𐑦𐑙
*𐑢𐑦𐑟𐑩𐑟	𐑣𐑢𐑦𐑟𐑩𐑟
*𐑢𐑦𐑟-𐑒𐑦𐑛	𐑣𐑢𐑦𐑟-𐑒𐑦𐑛
*𐑢𐑦𐑟-𐑒𐑦𐑛𐑟	𐑣𐑢𐑦𐑟-𐑒𐑦𐑛𐑟
*𐑢𐑦𐑗	𐑣𐑢𐑦𐑗
*𐑢𐑦𐑗𐑕𐑴𐑧𐑝𐑼	𐑣𐑢𐑦𐑗𐑕𐑴𐑧𐑝𐑼
*𐑢𐑦𐑗𐑧𐑝𐑼	𐑣𐑢𐑦𐑗𐑧𐑝𐑼
*𐑢𐑦𐑗𐑻𐑗	𐑣𐑢𐑦𐑗𐑻𐑗
*𐑢𐑦𐑥	𐑣𐑢𐑦𐑥
*𐑢𐑦𐑥𐑐𐑩𐑤𐑟	𐑣𐑢𐑦𐑥𐑐𐑩𐑤𐑟
*𐑢𐑦𐑥𐑐𐑼	𐑣𐑢𐑦𐑥𐑐𐑼
*𐑢𐑦𐑥𐑐𐑼𐑛	𐑣𐑢𐑦𐑥𐑐𐑼𐑛
*𐑢𐑦𐑥𐑐𐑼𐑟	𐑣𐑢𐑦𐑥𐑐𐑼𐑟
*𐑢𐑦𐑥𐑐𐑼𐑦𐑙	𐑣𐑢𐑦𐑥𐑐𐑼𐑦𐑙
*𐑢𐑦𐑥𐑟	𐑣𐑢𐑦𐑥𐑟
*𐑢𐑦𐑥𐑟𐑦	𐑣𐑢𐑦𐑥𐑟𐑦
*𐑢𐑦𐑥𐑟𐑦𐑒𐑤𐑦	𐑣𐑢𐑦𐑥𐑟𐑦𐑒𐑤𐑦
*𐑢𐑦𐑥𐑟𐑦𐑒𐑨𐑤𐑦𐑑𐑦	𐑣𐑢𐑦𐑥𐑟𐑦𐑒𐑨𐑤𐑦𐑑𐑦
*𐑢𐑦𐑥𐑟𐑦𐑒𐑨𐑤𐑦𐑑𐑦𐑟	𐑣𐑢𐑦𐑥𐑟𐑦𐑒𐑨𐑤𐑦𐑑𐑦𐑟
*𐑢𐑦𐑥𐑟𐑦𐑒𐑩𐑤	𐑣𐑢𐑦𐑥𐑟𐑦𐑒𐑩𐑤
*𐑢𐑦𐑥𐑟𐑦𐑟	𐑣𐑢𐑦𐑥𐑟𐑦𐑟
*𐑢𐑦𐑯	𐑣𐑢𐑦𐑯
*𐑢𐑦𐑯𐑛-𐑢𐑦𐑐𐑑	𐑢𐑦𐑯𐑛-𐑣𐑢𐑦𐑐𐑑
*𐑢𐑦𐑯𐑦	𐑣𐑢𐑦𐑯𐑦
*𐑢𐑦𐑯𐑦𐑛	𐑣𐑢𐑦𐑯𐑦𐑛
*𐑢𐑦𐑯𐑦𐑟	𐑣𐑢𐑦𐑯𐑦𐑟
*𐑢𐑦𐑯𐑦𐑦𐑙	𐑣𐑢𐑦𐑯𐑦𐑦𐑙
*𐑢𐑰𐑑	𐑣𐑢𐑰𐑑
*𐑢𐑰𐑑𐑓𐑰𐑤𐑛𐑟	𐑣𐑢𐑰𐑑𐑓𐑰𐑤𐑛𐑟
*𐑢𐑰𐑑𐑤𐑦 𐑣𐑦𐑤	𐑣𐑢𐑰𐑑𐑤𐑦 𐑣𐑦𐑤
*𐑢𐑰𐑑𐑩𐑯	𐑣𐑢𐑰𐑑𐑩𐑯
*𐑢𐑰𐑛𐑤𐑦𐑙	𐑣𐑢𐑰𐑛𐑤𐑦𐑙
*𐑢𐑰𐑛𐑩𐑤	𐑣𐑢𐑰𐑛𐑩𐑤
*𐑢𐑰𐑛𐑩𐑤𐑛	𐑣𐑢𐑰𐑛𐑩𐑤𐑛
*𐑢𐑰𐑛𐑩𐑤𐑟	𐑣𐑢𐑰𐑛𐑩𐑤𐑟
*𐑢𐑰𐑟	𐑣𐑢𐑰𐑟
*𐑢𐑰𐑟𐑛	𐑣𐑢𐑰𐑟𐑛
*𐑢𐑰𐑟𐑦	𐑣𐑢𐑰𐑟𐑦
*𐑢𐑰𐑟𐑦𐑙	𐑣𐑢𐑰𐑟𐑦𐑙
*𐑢𐑰𐑟𐑦𐑤𐑦	𐑣𐑢𐑰𐑟𐑦𐑤𐑦
*𐑢𐑰𐑟𐑦𐑯𐑩𐑕	𐑣𐑢𐑰𐑟𐑦𐑯𐑩𐑕
*𐑢𐑰𐑟𐑦𐑩𐑕𐑑	𐑣𐑢𐑰𐑟𐑦𐑩𐑕𐑑
*𐑢𐑰𐑟𐑦𐑼	𐑣𐑢𐑰𐑟𐑦𐑼
*𐑢𐑰𐑟𐑩𐑟	𐑣𐑢𐑰𐑟𐑩𐑟
*𐑢𐑰𐑤	𐑣𐑢𐑰𐑤
*𐑢𐑰𐑤𐑚𐑱𐑕	𐑣𐑢𐑰𐑤𐑚𐑱𐑕
*𐑢𐑰𐑤𐑚𐑱𐑕𐑩𐑟	𐑣𐑢𐑰𐑤𐑚𐑱𐑕𐑩𐑟
*𐑢𐑰𐑤𐑚𐑨𐑮𐑴	𐑣𐑢𐑰𐑤𐑚𐑨𐑮𐑴
*𐑢𐑰𐑤𐑚𐑨𐑮𐑴𐑟	𐑣𐑢𐑰𐑤𐑚𐑨𐑮𐑴𐑟
*𐑢𐑰𐑤𐑛	𐑣𐑢𐑰𐑤𐑛
*𐑢𐑰𐑤𐑟	𐑣𐑢𐑰𐑤𐑟
*𐑢𐑰𐑤𐑗𐑺	𐑣𐑢𐑰𐑤𐑗𐑺
*𐑢𐑰𐑤𐑗𐑺𐑟	𐑣𐑢𐑰𐑤𐑗𐑺𐑟
*𐑢𐑰𐑤𐑣𐑬𐑕	𐑣𐑢𐑰𐑤𐑣𐑬𐑕
*𐑢𐑰𐑤𐑣𐑬𐑟𐑩𐑟	𐑣𐑢𐑰𐑤𐑣𐑬𐑟𐑩𐑟
*𐑢𐑰𐑤𐑮𐑲𐑑	𐑣𐑢𐑰𐑤𐑮𐑲𐑑
*𐑢𐑰𐑤𐑮𐑲𐑑𐑕	𐑣𐑢𐑰𐑤𐑮𐑲𐑑𐑕
*𐑢𐑰𐑤𐑦𐑙	𐑣𐑢𐑰𐑤𐑦𐑙
*𐑢𐑰𐑤𐑼	𐑣𐑢𐑰𐑤𐑼
*𐑢𐑧𐑑	𐑣𐑢𐑧𐑑
*𐑢𐑧𐑑𐑕	𐑣𐑢𐑧𐑑𐑕
*𐑢𐑧𐑑𐑕𐑑𐑴𐑯	𐑣𐑢𐑧𐑑𐑕𐑑𐑴𐑯
*𐑢𐑧𐑑𐑕𐑑𐑴𐑯𐑟	𐑣𐑢𐑧𐑑𐑕𐑑𐑴𐑯𐑟
*𐑢𐑧𐑑𐑦𐑙	𐑣𐑢𐑧𐑑𐑦𐑙
*𐑢𐑧𐑑𐑩𐑛	𐑣𐑢𐑧𐑑𐑩𐑛
*𐑢𐑧𐑞𐑼	𐑣𐑢𐑧𐑞𐑼
*𐑢𐑧𐑞𐑼 𐑹 𐑯𐑪𐑑	𐑣𐑢𐑧𐑞𐑼 𐑹 𐑯𐑪𐑑
*𐑢𐑧𐑤𐑐	𐑣𐑢𐑧𐑤𐑐
*𐑢𐑧𐑤𐑐𐑑	𐑣𐑢𐑧𐑤𐑐𐑑
*𐑢𐑧𐑤𐑐𐑕	𐑣𐑢𐑧𐑤𐑐𐑕
*𐑢𐑧𐑤𐑐𐑦𐑙	𐑣𐑢𐑧𐑤𐑐𐑦𐑙
*𐑢𐑧𐑤𐑒	𐑣𐑢𐑧𐑤𐑒
*𐑢𐑧𐑤𐑒𐑕	𐑣𐑢𐑧𐑤𐑒𐑕
*𐑢𐑧𐑮𐑦	𐑣𐑢𐑧𐑮𐑦
*𐑢𐑧𐑮𐑦𐑟	𐑣𐑢𐑧𐑮𐑦𐑟
*𐑢𐑧𐑯	𐑣𐑢𐑧𐑯
*𐑢𐑧𐑯𐑕	𐑣𐑢𐑧𐑯𐑕
*𐑢𐑧𐑯𐑕𐑕𐑴𐑧𐑝𐑼	𐑣𐑢𐑧𐑯𐑕𐑕𐑴𐑧𐑝𐑼
*𐑢𐑧𐑯𐑟	𐑣𐑢𐑧𐑯𐑟
*𐑢𐑧𐑯𐑧𐑝𐑼	𐑣𐑢𐑧𐑯𐑧𐑝𐑼
*𐑢𐑱	𐑣𐑢𐑱
*𐑢𐑱𐑤	𐑣𐑢𐑱𐑤
*𐑢𐑱𐑤𐑚𐑴𐑯	𐑣𐑢𐑱𐑤𐑚𐑴𐑯
*𐑢𐑱𐑤𐑛	𐑣𐑢𐑱𐑤𐑛
*𐑢𐑱𐑤𐑟	𐑣𐑢𐑱𐑤𐑟
*𐑢𐑱𐑤𐑦 𐑚𐑮𐑦𐑡	𐑣𐑢𐑱𐑤𐑦 𐑚𐑮𐑦𐑡
*𐑢𐑱𐑤𐑦𐑙	𐑣𐑢𐑱𐑤𐑦𐑙
*𐑢𐑱𐑤𐑦𐑙-𐑜𐑳𐑯	𐑣𐑢𐑱𐑤𐑦𐑙-𐑜𐑳𐑯
*𐑢𐑱𐑤𐑦𐑙-𐑜𐑳𐑯𐑟	𐑣𐑢𐑱𐑤𐑦𐑙-𐑜𐑳𐑯𐑟
*𐑢𐑱𐑤𐑼	𐑣𐑢𐑱𐑤𐑼
*𐑢𐑱𐑤𐑼𐑟	𐑣𐑢𐑱𐑤𐑼𐑟
*𐑢𐑨𐑒	𐑣𐑢𐑨𐑒
*𐑢𐑨𐑒𐑑	𐑣𐑢𐑨𐑒𐑑
*𐑢𐑨𐑒𐑕	𐑣𐑢𐑨𐑒𐑕
*𐑢𐑨𐑒𐑦𐑙	𐑣𐑢𐑨𐑒𐑦𐑙
*𐑢𐑨𐑒𐑦𐑙𐑟	𐑣𐑢𐑨𐑒𐑦𐑙𐑟
*𐑢𐑨𐑒𐑼	𐑣𐑢𐑨𐑒𐑼
*𐑢𐑨𐑒𐑼𐑟	𐑣𐑢𐑨𐑒𐑼𐑟
*𐑢𐑨𐑙	𐑣𐑢𐑨𐑙
*𐑢𐑨𐑙𐑛	𐑣𐑢𐑨𐑙𐑛
*𐑢𐑨𐑙𐑟	𐑣𐑢𐑨𐑙𐑟
*𐑢𐑨𐑙𐑦𐑙	𐑣𐑢𐑨𐑙𐑦𐑙
*𐑢𐑲	𐑣𐑢𐑲
*𐑢𐑲𐑑	𐑣𐑢𐑲𐑑
*𐑢𐑲𐑑𐑚𐑱𐑑	𐑣𐑢𐑲𐑑𐑚𐑱𐑑
*𐑢𐑲𐑑𐑒𐑨𐑐𐑕	𐑣𐑢𐑲𐑑𐑒𐑨𐑐𐑕
*𐑢𐑲𐑑𐑔𐑹𐑯	𐑣𐑢𐑲𐑑𐑔𐑹𐑯
*𐑢𐑲𐑑𐑔𐑹𐑯𐑟	𐑣𐑢𐑲𐑑𐑔𐑹𐑯𐑟
*𐑢𐑲𐑑𐑕	𐑣𐑢𐑲𐑑𐑕
*𐑢𐑲𐑑𐑢𐑪𐑖	𐑣𐑢𐑲𐑑𐑢𐑪𐑖
*𐑢𐑲𐑑𐑢𐑪𐑖𐑑	𐑣𐑢𐑲𐑑𐑢𐑪𐑖𐑑
*𐑢𐑲𐑑𐑢𐑪𐑖𐑦𐑙	𐑣𐑢𐑲𐑑𐑢𐑪𐑖𐑦𐑙
*𐑢𐑲𐑑𐑢𐑪𐑖𐑩𐑟	𐑣𐑢𐑲𐑑𐑢𐑪𐑖𐑩𐑟
*𐑢𐑲𐑑𐑣𐑱𐑝𐑩𐑯	𐑣𐑢𐑲𐑑𐑣𐑱𐑝𐑩𐑯
*𐑢𐑲𐑑𐑣𐑷𐑤	𐑣𐑢𐑲𐑑𐑣𐑷𐑤
*𐑢𐑲𐑑𐑯𐑩𐑕	𐑣𐑢𐑲𐑑𐑯𐑩𐑕
*𐑢𐑲𐑑𐑦𐑖	𐑣𐑢𐑲𐑑𐑦𐑖
*𐑢𐑲𐑑𐑦𐑙	𐑣𐑢𐑲𐑑𐑦𐑙
